car(3, toyota, large, no, coup).
car(8164, toyota, large, no, coup).
car(8165, toyota, large, no, suv).
car(8187, toyota, small, yes, coup).
car(8191, benz, large, no, suv).
car(8193, bmw, medium, yes, coup).
car(8194, ford, small, yes, coup).
car(8198, mitsubishi, medium, no, suv).
car(8201, toyota, large, no, suv).
car(8227, benz, large, no, suv).
car(8229, bmw, medium, yes, coup).
car(8243, ford, large, no, suv).
car(8256, honda, small, no, coup).
car(8266, ford, small, yes, coup).
car(8268, honda, small, no, coup).
car(8308, toyota, large, no, coup).
car(8315, ford, large, no, suv).
car(8331, toyota, small, yes, coup).
car(8350, ford, small, yes, coup).
car(8372, bmw, small, yes, coup).
car(8383, benz, large, no, suv).
car(8386, ford, small, yes, coup).
car(8398, ford, small, yes, coup).
car(8414, mitsubishi, medium, no, suv).
car(8422, ford, small, yes, coup).
car(8442, benz, small, yes, coup).
car(8446, ford, small, yes, coup).
car(8465, toyota, large, no, suv).
car(8476, toyota, large, no, coup).
car(8480, bmw, small, yes, coup).
car(8481, bmw, medium, yes, coup).
car(8482, ford, small, yes, coup).
car(8486, mitsubishi, medium, no, suv).
car(8487, toyota, small, yes, coup).
car(8503, benz, large, no, suv).
car(8508, honda, small, no, coup).
car(8513, toyota, large, no, suv).
car(8520, honda, small, no, coup).
car(8543, ford, large, no, suv).
car(8557, mitsubishi, small, yes, coup).
car(8571, toyota, small, yes, coup).
car(8576, bmw, small, yes, coup).
car(8577, bmw, medium, yes, coup).
car(8601, bmw, medium, yes, coup).
car(8604, honda, small, no, coup).
car(8616, honda, small, no, coup).
car(8633, toyota, large, no, suv).
car(8634, benz, small, yes, coup).
car(8648, bmw, small, yes, coup).
car(8649, bmw, medium, yes, coup).
car(8653, mitsubishi, small, yes, coup).
car(8663, ford, large, no, suv).
car(8669, toyota, large, no, suv).
car(8676, honda, small, no, coup).
car(8681, toyota, large, no, suv).
car(8684, bmw, small, yes, coup).
car(8713, mitsubishi, small, yes, coup).
car(8720, bmw, small, yes, coup).
car(8722, ford, small, yes, coup).
car(8738, mitsubishi, medium, no, suv).
car(8741, toyota, large, no, suv).
car(8742, benz, small, yes, coup).
car(8751, toyota, small, yes, coup).
car(8758, ford, small, yes, coup).
car(8771, ford, large, no, suv).
car(8776, toyota, large, no, coup).
car(8794, ford, small, yes, coup).
car(8808, honda, small, no, coup).
car(8833, mitsubishi, small, yes, coup).
car(8838, benz, small, yes, coup).
car(8847, toyota, small, yes, coup).
car(8867, ford, large, no, suv).
car(8874, benz, small, yes, coup).
car(8879, ford, large, no, suv).
car(8880, honda, small, no, coup).
car(8892, honda, small, no, coup).
car(8921, toyota, large, no, suv).
car(8966, toyota, large, no, coup).
car(8967, benz, small, yes, coup).
car(8974, toyota, large, no, suv).
car(8985, bmw, medium, yes, coup).
car(8998, ford, small, yes, coup).
car(9009, bmw, medium, yes, coup).
car(9025, mitsubishi, small, yes, coup).
car(9033, bmw, medium, yes, coup).
car(9051, toyota, small, yes, coup).
car(9052, toyota, large, no, coup).
car(9061, mitsubishi, small, yes, coup).
car(9063, toyota, small, yes, coup).
car(9069, bmw, medium, yes, coup).
car(9071, ford, large, no, suv).
car(9094, ford, small, yes, coup).
car(9110, mitsubishi, medium, no, suv).
car(9142, ford, small, yes, coup).
car(9167, ford, large, no, suv).
car(9186, benz, small, yes, coup).
car(9189, bmw, medium, yes, coup).
car(9212, bmw, small, yes, coup).
car(9229, mitsubishi, small, yes, coup).
car(9230, mitsubishi, medium, no, suv).
car(9231, toyota, small, yes, coup).
car(9238, ford, small, yes, coup).
car(9239, ford, large, no, suv).
car(9254, mitsubishi, medium, no, suv).
car(9260, bmw, small, yes, coup).
car(9272, bmw, small, yes, coup).
car(9276, honda, small, no, coup).
car(9280, toyota, large, no, coup).
car(9292, toyota, large, no, coup).
car(9294, benz, small, yes, coup).
car(9300, honda, small, no, coup).
car(9320, bmw, small, yes, coup).
car(9324, honda, small, no, coup).
car(9341, toyota, large, no, suv).
car(9351, toyota, small, yes, coup).
car(9353, toyota, large, no, suv).
car(9365, toyota, large, no, suv).
car(9371, ford, large, no, suv).
car(9373, mitsubishi, small, yes, coup).
car(9387, toyota, small, yes, coup).
car(9413, toyota, large, no, suv).
car(9416, bmw, small, yes, coup).
car(9418, ford, small, yes, coup).
car(9436, toyota, large, no, coup).
car(9439, benz, large, no, suv).
car(9459, toyota, small, yes, coup).
car(9464, bmw, small, yes, coup).
car(9471, toyota, small, yes, coup).
car(9474, benz, small, yes, coup).
car(9477, bmw, medium, yes, coup).
car(9478, ford, small, yes, coup).
car(9521, toyota, large, no, suv).
car(9522, benz, small, yes, coup).
car(9533, toyota, large, no, suv).
car(9540, honda, small, no, coup).
car(9543, toyota, small, yes, coup).
car(9544, toyota, large, no, coup).
car(9545, toyota, large, no, suv).
car(9564, honda, small, no, coup).
car(9565, mitsubishi, small, yes, coup).
car(9588, honda, small, no, coup).
car(9597, bmw, medium, yes, coup).
car(9603, toyota, small, yes, coup).
car(9621, bmw, medium, yes, coup).
car(9653, toyota, large, no, suv).
car(9658, ford, small, yes, coup).
car(9665, toyota, large, no, suv).
car(9668, bmw, small, yes, coup).
car(9679, benz, large, no, suv).
car(9682, ford, small, yes, coup).
car(9696, honda, small, no, coup).
car(9702, benz, small, yes, coup).
car(9710, mitsubishi, medium, no, suv).
car(9717, bmw, medium, yes, coup).
car(9719, ford, large, no, suv).
car(9721, mitsubishi, small, yes, coup).
car(9723, toyota, small, yes, coup).
car(9730, ford, small, yes, coup).
car(9732, honda, small, no, coup).
car(9744, honda, small, no, coup).
car(9745, mitsubishi, small, yes, coup).
car(9752, bmw, small, yes, coup).
car(9759, toyota, small, yes, coup).
car(9773, toyota, large, no, suv).
car(9791, ford, large, no, suv).
car(9801, bmw, medium, yes, coup).
car(9802, ford, small, yes, coup).
car(9810, benz, small, yes, coup).
car(9817, mitsubishi, small, yes, coup).
car(9828, honda, small, no, coup).
car(9836, bmw, small, yes, coup).
car(9838, ford, small, yes, coup).
car(9843, toyota, small, yes, coup).
car(9851, ford, large, no, suv).
car(9853, mitsubishi, small, yes, coup).
car(9885, bmw, medium, yes, coup).
car(9902, mitsubishi, medium, no, suv).
car(9907, benz, large, no, suv).
car(9958, ford, small, yes, coup).
car(9960, mitsubishi, small, yes, coup).
car(9972, ford, large, no, suv).
