car(20, bmw, small, yes, coup).
car(8232, honda, small, no, coup).
car(8238, benz, small, yes, coup).
car(8241, bmw, medium, yes, coup).
car(8264, bmw, small, yes, coup).
car(8275, benz, large, no, suv).
car(8279, ford, large, no, suv).
car(8284, toyota, large, no, coup).
car(8288, bmw, small, yes, coup).
car(8291, ford, large, no, suv).
car(8304, honda, small, no, coup).
car(8305, mitsubishi, small, yes, coup).
car(8318, mitsubishi, medium, no, suv).
car(8325, bmw, medium, yes, coup).
car(8357, toyota, large, no, suv).
car(8368, toyota, large, no, coup).
car(8369, toyota, large, no, suv).
car(8394, benz, small, yes, coup).
car(8399, ford, large, no, suv).
car(8406, benz, small, yes, coup).
car(8410, ford, small, yes, coup).
car(8432, bmw, small, yes, coup).
car(8449, mitsubishi, small, yes, coup).
car(8459, ford, large, no, suv).
car(8462, mitsubishi, medium, no, suv).
car(8463, toyota, small, yes, coup).
car(8474, mitsubishi, medium, no, suv).
car(8492, bmw, small, yes, coup).
car(8498, mitsubishi, medium, no, suv).
car(8504, bmw, small, yes, coup).
car(8506, ford, small, yes, coup).
car(8516, bmw, small, yes, coup).
car(8524, toyota, large, no, coup).
car(8558, mitsubishi, medium, no, suv).
car(8559, toyota, small, yes, coup).
car(8570, mitsubishi, medium, no, suv).
car(8572, toyota, large, no, coup).
car(8578, ford, small, yes, coup).
car(8580, honda, small, no, coup).
car(8584, toyota, large, no, coup).
car(8590, ford, small, yes, coup).
car(8591, ford, large, no, suv).
car(8593, mitsubishi, small, yes, coup).
car(8603, ford, large, no, suv).
car(8613, bmw, medium, yes, coup).
car(8624, bmw, small, yes, coup).
car(8635, benz, large, no, suv).
car(8646, benz, small, yes, coup).
car(8651, ford, large, no, suv).
car(8654, mitsubishi, medium, no, suv).
car(8668, toyota, large, no, coup).
car(8670, benz, small, yes, coup).
car(8673, bmw, medium, yes, coup).
car(8694, benz, small, yes, coup).
car(8700, honda, small, no, coup).
car(8707, benz, large, no, suv).
car(8710, ford, small, yes, coup).
car(8711, ford, large, no, suv).
car(8718, benz, small, yes, coup).
car(8724, honda, small, no, coup).
car(8749, mitsubishi, small, yes, coup).
car(8786, mitsubishi, medium, no, suv).
car(8789, toyota, large, no, suv).
car(8792, bmw, small, yes, coup).
car(8810, mitsubishi, medium, no, suv).
car(8813, toyota, large, no, suv).
car(8817, bmw, medium, yes, coup).
car(8819, ford, large, no, suv).
car(8823, toyota, small, yes, coup).
car(8836, toyota, large, no, coup).
car(8840, bmw, small, yes, coup).
car(8846, mitsubishi, medium, no, suv).
car(8850, benz, small, yes, coup).
car(8856, honda, small, no, coup).
car(8863, benz, large, no, suv).
car(8884, toyota, large, no, coup).
car(8894, mitsubishi, medium, no, suv).
car(8897, toyota, large, no, suv).
car(8907, toyota, small, yes, coup).
car(8908, toyota, large, no, coup).
car(8910, benz, small, yes, coup).
car(8916, honda, small, no, coup).
car(8926, ford, small, yes, coup).
car(8935, benz, large, no, suv).
car(8940, honda, small, no, coup).
car(8952, honda, small, no, coup).
car(8971, honda, small, no, coup).
car(8982, benz, small, yes, coup).
car(8994, benz, small, yes, coup).
car(9004, toyota, large, no, coup).
car(9008, bmw, small, yes, coup).
car(9018, benz, small, yes, coup).
car(9021, bmw, medium, yes, coup).
car(9022, ford, small, yes, coup).
car(9036, honda, small, no, coup).
car(9043, benz, large, no, suv).
car(9046, ford, small, yes, coup).
car(9050, mitsubishi, medium, no, suv).
car(9073, mitsubishi, small, yes, coup).
car(9085, mitsubishi, small, yes, coup).
car(9087, toyota, small, yes, coup).
car(9090, benz, small, yes, coup).
car(9098, mitsubishi, medium, no, suv).
car(9114, benz, small, yes, coup).
car(9117, bmw, medium, yes, coup).
car(9119, ford, large, no, suv).
car(9121, mitsubishi, small, yes, coup).
car(9128, bmw, small, yes, coup).
car(9131, ford, large, no, suv).
car(9146, mitsubishi, medium, no, suv).
car(9157, mitsubishi, small, yes, coup).
car(9161, toyota, large, no, suv).
car(9164, bmw, small, yes, coup).
car(9170, mitsubishi, medium, no, suv).
car(9172, toyota, large, no, coup).
car(9188, bmw, small, yes, coup).
car(9201, bmw, medium, yes, coup).
car(9204, honda, small, no, coup).
car(9210, benz, small, yes, coup).
car(9211, benz, large, no, suv).
car(9219, toyota, small, yes, coup).
car(9232, toyota, large, no, coup).
car(9235, benz, large, no, suv).
car(9245, toyota, large, no, suv).
car(9252, honda, small, no, coup).
car(9267, toyota, small, yes, coup).
car(9279, toyota, small, yes, coup).
car(9282, benz, small, yes, coup).
car(9288, honda, small, no, coup).
car(9309, bmw, medium, yes, coup).
car(9322, ford, small, yes, coup).
car(9325, mitsubishi, small, yes, coup).
car(9332, bmw, small, yes, coup).
car(9343, benz, large, no, suv).
car(9350, mitsubishi, medium, no, suv).
car(9355, benz, large, no, suv).
car(9359, ford, large, no, suv).
car(9370, ford, small, yes, coup).
car(9383, ford, large, no, suv).
car(9389, toyota, large, no, suv).
car(9390, benz, small, yes, coup).
car(9405, bmw, medium, yes, coup).
car(9408, honda, small, no, coup).
car(9409, mitsubishi, small, yes, coup).
car(9410, mitsubishi, medium, no, suv).
car(9419, ford, large, no, suv).
car(9424, toyota, large, no, coup).
car(9431, ford, large, no, suv).
car(9443, ford, large, no, suv).
car(9466, ford, small, yes, coup).
car(9476, bmw, small, yes, coup).
car(9482, mitsubishi, medium, no, suv).
car(9494, mitsubishi, medium, no, suv).
car(9506, mitsubishi, medium, no, suv).
car(9511, benz, large, no, suv).
car(9520, toyota, large, no, coup).
car(9554, mitsubishi, medium, no, suv).
car(9577, mitsubishi, small, yes, coup).
car(9578, mitsubishi, medium, no, suv).
car(9589, mitsubishi, small, yes, coup).
car(9622, ford, small, yes, coup).
car(9626, mitsubishi, medium, no, suv).
car(9633, bmw, medium, yes, coup).
car(9635, ford, large, no, suv).
car(9644, bmw, small, yes, coup).
car(9660, honda, small, no, coup).
car(9699, toyota, small, yes, coup).
car(9706, ford, small, yes, coup).
car(9712, toyota, large, no, coup).
car(9714, benz, small, yes, coup).
car(9716, bmw, small, yes, coup).
car(9746, mitsubishi, medium, no, suv).
car(9755, ford, large, no, suv).
car(9763, benz, large, no, suv).
car(9770, mitsubishi, medium, no, suv).
car(9776, bmw, small, yes, coup).
car(9779, ford, large, no, suv).
car(9785, toyota, large, no, suv).
car(9796, toyota, large, no, coup).
car(9803, ford, large, no, suv).
car(9804, honda, small, no, coup).
car(9822, benz, small, yes, coup).
car(9834, benz, small, yes, coup).
car(9858, benz, small, yes, coup).
car(9864, honda, small, no, coup).
car(9866, mitsubishi, medium, no, suv).
car(9871, benz, large, no, suv).
car(9881, toyota, large, no, suv).
car(9900, honda, small, no, coup).
car(9917, toyota, large, no, suv).
car(9919, benz, large, no, suv).
car(9926, mitsubishi, medium, no, suv).
car(9929, toyota, large, no, suv).
car(9943, benz, large, no, suv).
car(9953, toyota, large, no, suv).
