car(15, toyota, small, yes, coup).
car(8178, benz, small, yes, coup).
car(8181, bmw, medium, yes, coup).
car(8182, ford, small, yes, coup).
car(8192, bmw, small, yes, coup).
car(8211, toyota, small, yes, coup).
car(8215, benz, large, no, suv).
car(8216, bmw, small, yes, coup).
car(8233, mitsubishi, small, yes, coup).
car(8245, mitsubishi, small, yes, coup).
car(8255, ford, large, no, suv).
car(8260, toyota, large, no, coup).
car(8261, toyota, large, no, suv).
car(8270, mitsubishi, medium, no, suv).
car(8274, benz, small, yes, coup).
car(8278, ford, small, yes, coup).
car(8298, benz, small, yes, coup).
car(8299, benz, large, no, suv).
car(8311, benz, large, no, suv).
car(8319, toyota, small, yes, coup).
car(8323, benz, large, no, suv).
car(8329, mitsubishi, small, yes, coup).
car(8330, mitsubishi, medium, no, suv).
car(8344, toyota, large, no, coup).
car(8348, bmw, small, yes, coup).
car(8355, toyota, small, yes, coup).
car(8364, honda, small, no, coup).
car(8365, mitsubishi, small, yes, coup).
car(8366, mitsubishi, medium, no, suv).
car(8367, toyota, small, yes, coup).
car(8370, benz, small, yes, coup).
car(8378, mitsubishi, medium, no, suv).
car(8382, benz, small, yes, coup).
car(8425, mitsubishi, small, yes, coup).
car(8428, toyota, large, no, coup).
car(8431, benz, large, no, suv).
car(8451, toyota, small, yes, coup).
car(8452, toyota, large, no, coup).
car(8457, bmw, medium, yes, coup).
car(8469, bmw, medium, yes, coup).
car(8470, ford, small, yes, coup).
car(8478, benz, small, yes, coup).
car(8483, ford, large, no, suv).
car(8494, ford, small, yes, coup).
car(8529, bmw, medium, yes, coup).
car(8540, bmw, small, yes, coup).
car(8551, benz, large, no, suv).
car(8555, ford, large, no, suv).
car(8556, honda, small, no, coup).
car(8564, bmw, small, yes, coup).
car(8583, toyota, small, yes, coup).
car(8589, bmw, medium, yes, coup).
car(8596, toyota, large, no, coup).
car(8597, toyota, large, no, suv).
car(8619, toyota, small, yes, coup).
car(8647, benz, large, no, suv).
car(8665, mitsubishi, small, yes, coup).
car(8666, mitsubishi, medium, no, suv).
car(8672, bmw, small, yes, coup).
car(8674, ford, small, yes, coup).
car(8679, toyota, small, yes, coup).
car(8680, toyota, large, no, coup).
car(8683, benz, large, no, suv).
car(8687, ford, large, no, suv).
car(8702, mitsubishi, medium, no, suv).
car(8719, benz, large, no, suv).
car(8723, ford, large, no, suv).
car(8733, bmw, medium, yes, coup).
car(8740, toyota, large, no, coup).
car(8772, honda, small, no, coup).
car(8779, benz, large, no, suv).
car(8787, toyota, small, yes, coup).
car(8799, toyota, small, yes, coup).
car(8803, benz, large, no, suv).
car(8816, bmw, small, yes, coup).
car(8818, ford, small, yes, coup).
car(8820, honda, small, no, coup).
car(8841, bmw, medium, yes, coup).
car(8865, bmw, medium, yes, coup).
car(8870, mitsubishi, medium, no, suv).
car(8901, bmw, medium, yes, coup).
car(8911, benz, large, no, suv).
car(8912, bmw, small, yes, coup).
car(8914, ford, small, yes, coup).
car(8936, bmw, small, yes, coup).
car(8937, bmw, medium, yes, coup).
car(8946, benz, small, yes, coup).
car(8968, bmw, small, yes, coup).
car(8969, bmw, medium, yes, coup).
car(8979, toyota, small, yes, coup).
car(8980, toyota, large, no, coup).
car(8999, ford, large, no, suv).
car(9007, benz, large, no, suv).
car(9019, benz, large, no, suv).
car(9032, bmw, small, yes, coup).
car(9066, benz, small, yes, coup).
car(9076, toyota, large, no, coup).
car(9095, ford, large, no, suv).
car(9100, toyota, large, no, coup).
car(9108, honda, small, no, coup).
car(9111, toyota, small, yes, coup).
car(9126, benz, small, yes, coup).
car(9138, benz, small, yes, coup).
car(9139, benz, large, no, suv).
car(9166, ford, small, yes, coup).
car(9178, ford, small, yes, coup).
car(9195, toyota, small, yes, coup).
car(9208, toyota, large, no, coup).
car(9220, toyota, large, no, coup).
car(9223, benz, large, no, suv).
car(9227, ford, large, no, suv).
car(9228, honda, small, no, coup).
car(9234, benz, small, yes, coup).
car(9257, toyota, large, no, suv).
car(9258, benz, small, yes, coup).
car(9264, honda, small, no, coup).
car(9269, toyota, large, no, suv).
car(9277, mitsubishi, small, yes, coup).
car(9296, bmw, small, yes, coup).
car(9301, mitsubishi, small, yes, coup).
car(9313, mitsubishi, small, yes, coup).
car(9314, mitsubishi, medium, no, suv).
car(9316, toyota, large, no, coup).
car(9362, mitsubishi, medium, no, suv).
car(9381, bmw, medium, yes, coup).
car(9384, honda, small, no, coup).
car(9399, toyota, small, yes, coup).
car(9403, benz, large, no, suv).
car(9406, ford, small, yes, coup).
car(9407, ford, large, no, suv).
car(9420, honda, small, no, coup).
car(9441, bmw, medium, yes, coup).
car(9442, ford, small, yes, coup).
car(9460, toyota, large, no, coup).
car(9463, benz, large, no, suv).
car(9480, honda, small, no, coup).
car(9486, benz, small, yes, coup).
car(9495, toyota, small, yes, coup).
car(9497, toyota, large, no, suv).
car(9502, ford, small, yes, coup).
car(9519, toyota, small, yes, coup).
car(9523, benz, large, no, suv).
car(9529, mitsubishi, small, yes, coup).
car(9534, benz, small, yes, coup).
car(9550, ford, small, yes, coup).
car(9563, ford, large, no, suv).
car(9568, toyota, large, no, coup).
car(9574, ford, small, yes, coup).
car(9580, toyota, large, no, coup).
car(9583, benz, large, no, suv).
car(9586, ford, small, yes, coup).
car(9594, benz, small, yes, coup).
car(9601, mitsubishi, small, yes, coup).
car(9608, bmw, small, yes, coup).
car(9620, bmw, small, yes, coup).
car(9629, toyota, large, no, suv).
car(9631, benz, large, no, suv).
car(9637, mitsubishi, small, yes, coup).
car(9639, toyota, small, yes, coup).
car(9646, ford, small, yes, coup).
car(9656, bmw, small, yes, coup).
car(9663, toyota, small, yes, coup).
car(9688, toyota, large, no, coup).
car(9693, bmw, medium, yes, coup).
car(9694, ford, small, yes, coup).
car(9695, ford, large, no, suv).
car(9711, toyota, small, yes, coup).
car(9718, ford, small, yes, coup).
car(9749, toyota, large, no, suv).
car(9750, benz, small, yes, coup).
car(9764, bmw, small, yes, coup).
car(9775, benz, large, no, suv).
car(9778, ford, small, yes, coup).
car(9780, honda, small, no, coup).
car(9781, mitsubishi, small, yes, coup).
car(9793, mitsubishi, small, yes, coup).
car(9806, mitsubishi, medium, no, suv).
car(9812, bmw, small, yes, coup).
car(9819, toyota, small, yes, coup).
car(9823, benz, large, no, suv).
car(9830, mitsubishi, medium, no, suv).
car(9831, toyota, small, yes, coup).
car(9835, benz, large, no, suv).
car(9847, benz, large, no, suv).
car(9848, bmw, small, yes, coup).
car(9855, toyota, small, yes, coup).
car(9857, toyota, large, no, suv).
car(9909, bmw, medium, yes, coup).
car(9910, ford, small, yes, coup).
car(9911, ford, large, no, suv).
car(9925, mitsubishi, small, yes, coup).
car(9944, bmw, small, yes, coup).
car(9945, bmw, medium, yes, coup).
car(9966, ford, small, yes, coup).
car(9968, benz, large, no, suv).
car(9970, toyota, large, no, suv).
