car(2, toyota, small, yes, coup).
car(7802, mitsubishi, medium, no, suv).
car(7806, benz, small, yes, coup).
car(7814, mitsubishi, medium, no, suv).
car(7837, mitsubishi, small, yes, coup).
car(7846, ford, small, yes, coup).
car(7874, mitsubishi, medium, no, suv).
car(7890, benz, small, yes, coup).
car(7906, ford, small, yes, coup).
car(7909, mitsubishi, small, yes, coup).
car(7924, toyota, large, no, coup).
car(7966, ford, small, yes, coup).
car(7967, honda, small, no, coup).
car(7978, toyota, large, no, suv).
car(7979, mitsubishi, medium, no, suv).
car(7991, ford, large, no, suv).
car(7992, honda, small, no, coup).
car(7997, toyota, large, no, suv).
car(8015, ford, large, no, suv).
car(8032, toyota, large, no, coup).
car(8046, benz, small, yes, coup).
car(8057, toyota, large, no, suv).
car(8070, benz, small, yes, coup).
car(8085, bmw, medium, yes, coup).
car(8093, toyota, large, no, suv).
car(8095, benz, large, no, suv).
car(8096, bmw, small, yes, coup).
car(8111, ford, large, no, suv).
car(8117, toyota, large, no, suv).
car(8120, bmw, small, yes, coup).
car(8180, bmw, small, yes, coup).
car(8212, toyota, large, no, coup).
car(8222, mitsubishi, medium, no, suv).
car(8225, toyota, large, no, suv).
car(8228, bmw, small, yes, coup).
car(8237, toyota, large, no, suv).
car(8244, honda, small, no, coup).
car(8273, toyota, large, no, suv).
car(8283, toyota, small, yes, coup).
car(8286, benz, small, yes, coup).
car(8287, benz, large, no, suv).
car(8289, bmw, medium, yes, coup).
car(8302, ford, small, yes, coup).
car(8303, ford, large, no, suv).
car(8313, bmw, medium, yes, coup).
car(8317, mitsubishi, small, yes, coup).
car(8332, toyota, large, no, coup).
car(8345, toyota, large, no, suv).
car(8346, benz, small, yes, coup).
car(8349, bmw, medium, yes, coup).
car(8353, mitsubishi, small, yes, coup).
car(8354, mitsubishi, medium, no, suv).
car(8359, benz, large, no, suv).
car(8385, bmw, medium, yes, coup).
car(8391, toyota, small, yes, coup).
car(8393, toyota, large, no, suv).
car(8402, mitsubishi, medium, no, suv).
car(8405, toyota, large, no, suv).
car(8408, bmw, small, yes, coup).
car(8411, ford, large, no, suv).
car(8413, mitsubishi, small, yes, coup).
car(8438, mitsubishi, medium, no, suv).
car(8458, ford, small, yes, coup).
car(8526, benz, small, yes, coup).
car(8531, ford, large, no, suv).
car(8538, benz, small, yes, coup).
car(8542, ford, small, yes, coup).
car(8545, mitsubishi, small, yes, coup).
car(8547, toyota, small, yes, coup).
car(8553, bmw, medium, yes, coup).
car(8587, benz, large, no, suv).
car(8594, mitsubishi, medium, no, suv).
car(8607, toyota, small, yes, coup).
car(8609, toyota, large, no, suv).
car(8610, benz, small, yes, coup).
car(8615, ford, large, no, suv).
car(8617, mitsubishi, small, yes, coup).
car(8618, mitsubishi, medium, no, suv).
car(8627, ford, large, no, suv).
car(8630, mitsubishi, medium, no, suv).
car(8631, toyota, small, yes, coup).
car(8643, toyota, small, yes, coup).
car(8667, toyota, small, yes, coup).
car(8671, benz, large, no, suv).
car(8691, toyota, small, yes, coup).
car(8697, bmw, medium, yes, coup).
car(8703, toyota, small, yes, coup).
car(8704, toyota, large, no, coup).
car(8714, mitsubishi, medium, no, suv).
car(8717, toyota, large, no, suv).
car(8743, benz, large, no, suv).
car(8756, bmw, small, yes, coup).
car(8778, benz, small, yes, coup).
car(8781, bmw, medium, yes, coup).
car(8783, ford, large, no, suv).
car(8790, benz, small, yes, coup).
car(8807, ford, large, no, suv).
car(8815, benz, large, no, suv).
car(8832, honda, small, no, coup).
car(8837, toyota, large, no, suv).
car(8852, bmw, small, yes, coup).
car(8854, ford, small, yes, coup).
car(8877, bmw, medium, yes, coup).
car(8887, benz, large, no, suv).
car(8917, mitsubishi, small, yes, coup).
car(8923, benz, large, no, suv).
car(8931, toyota, small, yes, coup).
car(8934, benz, small, yes, coup).
car(8938, ford, small, yes, coup).
car(8939, ford, large, no, suv).
car(8951, ford, large, no, suv).
car(8953, mitsubishi, small, yes, coup).
car(8958, benz, small, yes, coup).
car(8976, ford, large, no, suv).
car(8977, mitsubishi, small, yes, coup).
car(8988, honda, small, no, coup).
car(8989, mitsubishi, small, yes, coup).
car(8997, bmw, medium, yes, coup).
car(9003, toyota, small, yes, coup).
car(9006, benz, small, yes, coup).
car(9012, honda, small, no, coup).
car(9023, ford, large, no, suv).
car(9080, bmw, small, yes, coup).
car(9105, bmw, medium, yes, coup).
car(9107, ford, large, no, suv).
car(9118, ford, small, yes, coup).
car(9144, honda, small, no, coup).
car(9145, mitsubishi, small, yes, coup).
car(9159, toyota, small, yes, coup).
car(9176, bmw, small, yes, coup).
car(9192, honda, small, no, coup).
car(9199, benz, large, no, suv).
car(9200, bmw, small, yes, coup).
car(9224, bmw, small, yes, coup).
car(9226, ford, small, yes, coup).
car(9242, mitsubishi, medium, no, suv).
car(9255, toyota, small, yes, coup).
car(9287, ford, large, no, suv).
car(9293, toyota, large, no, suv).
car(9323, ford, large, no, suv).
car(9327, toyota, small, yes, coup).
car(9335, ford, large, no, suv).
car(9336, honda, small, no, coup).
car(9342, benz, small, yes, coup).
car(9344, bmw, small, yes, coup).
car(9352, toyota, large, no, coup).
car(9356, bmw, small, yes, coup).
car(9364, toyota, large, no, coup).
car(9366, benz, small, yes, coup).
car(9398, mitsubishi, medium, no, suv).
car(9404, bmw, small, yes, coup).
car(9411, toyota, small, yes, coup).
car(9423, toyota, small, yes, coup).
car(9438, benz, small, yes, coup).
car(9467, ford, large, no, suv).
car(9481, mitsubishi, small, yes, coup).
car(9489, bmw, medium, yes, coup).
car(9528, honda, small, no, coup).
car(9530, mitsubishi, medium, no, suv).
car(9536, bmw, small, yes, coup).
car(9542, mitsubishi, medium, no, suv).
car(9559, benz, large, no, suv).
car(9585, bmw, medium, yes, coup).
car(9598, ford, small, yes, coup).
car(9604, toyota, large, no, coup).
car(9607, benz, large, no, suv).
car(9613, mitsubishi, small, yes, coup).
car(9617, toyota, large, no, suv).
car(9618, benz, small, yes, coup).
car(9619, benz, large, no, suv).
car(9627, toyota, small, yes, coup).
car(9671, ford, large, no, suv).
car(9673, mitsubishi, small, yes, coup).
car(9674, mitsubishi, medium, no, suv).
car(9684, honda, small, no, coup).
car(9690, benz, small, yes, coup).
car(9700, toyota, large, no, coup).
car(9703, benz, large, no, suv).
car(9722, mitsubishi, medium, no, suv).
car(9727, benz, large, no, suv).
car(9729, bmw, medium, yes, coup).
car(9739, benz, large, no, suv).
car(9740, bmw, small, yes, coup).
car(9751, benz, large, no, suv).
car(9771, toyota, small, yes, coup).
car(9777, bmw, medium, yes, coup).
car(9782, mitsubishi, medium, no, suv).
car(9788, bmw, small, yes, coup).
car(9800, bmw, small, yes, coup).
car(9808, toyota, large, no, coup).
car(9833, toyota, large, no, suv).
car(9850, ford, small, yes, coup).
car(9854, mitsubishi, medium, no, suv).
car(9872, bmw, small, yes, coup).
car(9888, honda, small, no, coup).
car(9897, bmw, medium, yes, coup).
car(9899, ford, large, no, suv).
car(9913, mitsubishi, small, yes, coup).
car(9916, toyota, large, no, coup).
car(9927, toyota, small, yes, coup).
car(9928, toyota, large, no, coup).
car(9940, toyota, large, no, coup).
car(9942, benz, small, yes, coup).
car(9949, mitsubishi, small, yes, coup).
car(9950, mitsubishi, medium, no, suv).
car(9965, bmw, medium, yes, coup).
