car(14, mitsubishi, medium, no, suv).
car(8011, benz, large, no, suv).
car(8048, bmw, small, yes, coup).
car(8052, honda, small, no, coup).
car(8063, ford, large, no, suv).
car(8086, ford, small, yes, coup).
car(8091, toyota, small, yes, coup).
car(8115, toyota, small, yes, coup).
car(8131, benz, large, no, suv).
car(8137, mitsubishi, small, yes, coup).
car(8189, toyota, large, no, suv).
car(8195, ford, large, no, suv).
car(8196, honda, small, no, coup).
car(8203, benz, large, no, suv).
car(8204, bmw, small, yes, coup).
car(8207, ford, large, no, suv).
car(8210, mitsubishi, medium, no, suv).
car(8213, toyota, large, no, suv).
car(8218, ford, small, yes, coup).
car(8219, ford, large, no, suv).
car(8236, toyota, large, no, coup).
car(8250, benz, small, yes, coup).
car(8254, ford, small, yes, coup).
car(8269, mitsubishi, small, yes, coup).
car(8281, mitsubishi, small, yes, coup).
car(8295, toyota, small, yes, coup).
car(8316, honda, small, no, coup).
car(8324, bmw, small, yes, coup).
car(8334, benz, small, yes, coup).
car(8339, ford, large, no, suv).
car(8340, honda, small, no, coup).
car(8363, ford, large, no, suv).
car(8387, ford, large, no, suv).
car(8400, honda, small, no, coup).
car(8404, toyota, large, no, coup).
car(8418, benz, small, yes, coup).
car(8436, honda, small, no, coup).
car(8456, bmw, small, yes, coup).
car(8461, mitsubishi, small, yes, coup).
car(8488, toyota, large, no, coup).
car(8517, bmw, medium, yes, coup).
car(8523, toyota, small, yes, coup).
car(8561, toyota, large, no, suv).
car(8562, benz, small, yes, coup).
car(8566, ford, small, yes, coup).
car(8568, honda, small, no, coup).
car(8569, mitsubishi, small, yes, coup).
car(8582, mitsubishi, medium, no, suv).
car(8600, bmw, small, yes, coup).
car(8606, mitsubishi, medium, no, suv).
car(8623, benz, large, no, suv).
car(8637, bmw, medium, yes, coup).
car(8644, toyota, large, no, coup).
car(8657, toyota, large, no, suv).
car(8664, honda, small, no, coup).
car(8677, mitsubishi, small, yes, coup).
car(8682, benz, small, yes, coup).
car(8690, mitsubishi, medium, no, suv).
car(8708, bmw, small, yes, coup).
car(8730, benz, small, yes, coup).
car(8739, toyota, small, yes, coup).
car(8753, toyota, large, no, suv).
car(8759, ford, large, no, suv).
car(8760, honda, small, no, coup).
car(8761, mitsubishi, small, yes, coup).
car(8764, toyota, large, no, coup).
car(8768, bmw, small, yes, coup).
car(8777, toyota, large, no, suv).
car(8795, ford, large, no, suv).
car(8797, mitsubishi, small, yes, coup).
car(8828, bmw, small, yes, coup).
car(8830, ford, small, yes, coup).
car(8848, toyota, large, no, coup).
car(8860, toyota, large, no, coup).
car(8878, ford, small, yes, coup).
car(8888, bmw, small, yes, coup).
car(8889, bmw, medium, yes, coup).
car(8891, ford, large, no, suv).
car(8896, toyota, large, no, coup).
car(8902, ford, small, yes, coup).
car(8915, ford, large, no, suv).
car(8922, benz, small, yes, coup).
car(8924, bmw, small, yes, coup).
car(8943, toyota, small, yes, coup).
car(8963, honda, small, no, coup).
car(8987, ford, large, no, suv).
car(8993, toyota, large, no, suv).
car(9001, mitsubishi, small, yes, coup).
car(9005, toyota, large, no, suv).
car(9013, mitsubishi, small, yes, coup).
car(9028, toyota, large, no, coup).
car(9054, benz, small, yes, coup).
car(9055, benz, large, no, suv).
car(9060, honda, small, no, coup).
car(9067, benz, large, no, suv).
car(9082, ford, small, yes, coup).
car(9097, mitsubishi, small, yes, coup).
car(9099, toyota, small, yes, coup).
car(9115, benz, large, no, suv).
car(9154, ford, small, yes, coup).
car(9162, benz, small, yes, coup).
car(9169, mitsubishi, small, yes, coup).
car(9175, benz, large, no, suv).
car(9185, toyota, large, no, suv).
car(9190, ford, small, yes, coup).
car(9193, mitsubishi, small, yes, coup).
car(9194, mitsubishi, medium, no, suv).
car(9218, mitsubishi, medium, no, suv).
car(9251, ford, large, no, suv).
car(9259, benz, large, no, suv).
car(9270, benz, small, yes, coup).
car(9271, benz, large, no, suv).
car(9298, ford, small, yes, coup).
car(9299, ford, large, no, suv).
car(9304, toyota, large, no, coup).
car(9306, benz, small, yes, coup).
car(9318, benz, small, yes, coup).
car(9334, ford, small, yes, coup).
car(9357, bmw, medium, yes, coup).
car(9360, honda, small, no, coup).
car(9369, bmw, medium, yes, coup).
car(9392, bmw, small, yes, coup).
car(9393, bmw, medium, yes, coup).
car(9421, mitsubishi, small, yes, coup).
car(9447, toyota, small, yes, coup).
car(9450, benz, small, yes, coup).
car(9457, mitsubishi, small, yes, coup).
car(9461, toyota, large, no, suv).
car(9465, bmw, medium, yes, coup).
car(9487, benz, large, no, suv).
car(9493, mitsubishi, small, yes, coup).
car(9505, mitsubishi, small, yes, coup).
car(9513, bmw, medium, yes, coup).
car(9514, ford, small, yes, coup).
car(9524, bmw, small, yes, coup).
car(9526, ford, small, yes, coup).
car(9535, benz, large, no, suv).
car(9553, mitsubishi, small, yes, coup).
car(9556, toyota, large, no, coup).
car(9557, toyota, large, no, suv).
car(9566, mitsubishi, medium, no, suv).
car(9570, benz, small, yes, coup).
car(9571, benz, large, no, suv).
car(9584, bmw, small, yes, coup).
car(9596, bmw, small, yes, coup).
car(9609, bmw, medium, yes, coup).
car(9610, ford, small, yes, coup).
car(9648, honda, small, no, coup).
car(9662, mitsubishi, medium, no, suv).
car(9672, honda, small, no, coup).
car(9676, toyota, large, no, coup).
car(9683, ford, large, no, suv).
car(9689, toyota, large, no, suv).
car(9697, mitsubishi, small, yes, coup).
car(9701, toyota, large, no, suv).
car(9704, bmw, small, yes, coup).
car(9708, honda, small, no, coup).
car(9720, honda, small, no, coup).
car(9742, ford, small, yes, coup).
car(9760, toyota, large, no, coup).
car(9774, benz, small, yes, coup).
car(9783, toyota, small, yes, coup).
car(9794, mitsubishi, medium, no, suv).
car(9799, benz, large, no, suv).
car(9827, ford, large, no, suv).
car(9840, honda, small, no, coup).
car(9844, toyota, large, no, coup).
car(9845, toyota, large, no, suv).
car(9860, bmw, small, yes, coup).
car(9861, bmw, medium, yes, coup).
car(9862, ford, small, yes, coup).
car(9874, ford, small, yes, coup).
car(9883, benz, large, no, suv).
car(9886, ford, small, yes, coup).
car(9912, honda, small, no, coup).
car(9915, toyota, small, yes, coup).
car(9920, bmw, small, yes, coup).
car(9932, bmw, small, yes, coup).
car(9935, ford, large, no, suv).
car(9938, mitsubishi, medium, no, suv).
car(9951, toyota, small, yes, coup).
car(9969, ford, large, no, suv).
