car(13, mitsubishi, small, yes, coup).
car(7781, toyota, large, no, suv).
car(7784, bmw, small, yes, coup).
car(7795, benz, large, no, suv).
car(7822, ford, small, yes, coup).
car(7828, toyota, large, no, coup).
car(7833, bmw, medium, yes, coup).
car(7836, honda, small, no, coup).
car(7856, bmw, small, yes, coup).
car(7866, benz, small, yes, coup).
car(7867, benz, large, no, suv).
car(7880, bmw, small, yes, coup).
car(7891, benz, large, no, suv).
car(7900, toyota, large, no, coup).
car(7907, ford, large, no, suv).
car(7912, toyota, large, no, coup).
car(7927, benz, large, no, suv).
car(7929, bmw, medium, yes, coup).
car(7934, mitsubishi, medium, no, suv).
car(7936, toyota, large, no, coup).
car(7939, benz, large, no, suv).
car(7941, bmw, medium, yes, coup).
car(7943, ford, large, no, suv).
car(7958, mitsubishi, medium, no, suv).
car(7988, bmw, small, yes, coup).
car(8012, bmw, small, yes, coup).
car(8025, bmw, medium, yes, coup).
car(8033, toyota, large, no, suv).
car(8042, mitsubishi, medium, no, suv).
car(8043, toyota, small, yes, coup).
car(8056, toyota, large, no, coup).
car(8075, ford, large, no, suv).
car(8130, benz, small, yes, coup).
car(8138, mitsubishi, medium, no, suv).
car(8147, ford, large, no, suv).
car(8152, toyota, large, no, coup).
car(8153, toyota, large, no, suv).
car(8155, benz, large, no, suv).
car(8157, bmw, medium, yes, coup).
car(8160, honda, small, no, coup).
car(8163, toyota, small, yes, coup).
car(8175, toyota, small, yes, coup).
car(8177, toyota, large, no, suv).
car(8184, honda, small, no, coup).
car(8205, bmw, medium, yes, coup).
car(8214, benz, small, yes, coup).
car(8217, bmw, medium, yes, coup).
car(8235, toyota, small, yes, coup).
car(8249, toyota, large, no, suv).
car(8257, mitsubishi, small, yes, coup).
car(8259, toyota, small, yes, coup).
car(8262, benz, small, yes, coup).
car(8271, toyota, small, yes, coup).
car(8307, toyota, small, yes, coup).
car(8321, toyota, large, no, suv).
car(8336, bmw, small, yes, coup).
car(8342, mitsubishi, medium, no, suv).
car(8352, honda, small, no, coup).
car(8356, toyota, large, no, coup).
car(8360, bmw, small, yes, coup).
car(8371, benz, large, no, suv).
car(8373, bmw, medium, yes, coup).
car(8384, bmw, small, yes, coup).
car(8389, mitsubishi, small, yes, coup).
car(8403, toyota, small, yes, coup).
car(8415, toyota, small, yes, coup).
car(8421, bmw, medium, yes, coup).
car(8435, ford, large, no, suv).
car(8439, toyota, small, yes, coup).
car(8443, benz, large, no, suv).
car(8450, mitsubishi, medium, no, suv).
car(8475, toyota, small, yes, coup).
car(8501, toyota, large, no, suv).
car(8532, honda, small, no, coup).
car(8534, mitsubishi, medium, no, suv).
car(8536, toyota, large, no, coup).
car(8539, benz, large, no, suv).
car(8549, toyota, large, no, suv).
car(8550, benz, small, yes, coup).
car(8567, ford, large, no, suv).
car(8575, benz, large, no, suv).
car(8588, bmw, small, yes, coup).
car(8598, benz, small, yes, coup).
car(8602, ford, small, yes, coup).
car(8608, toyota, large, no, coup).
car(8612, bmw, small, yes, coup).
car(8626, ford, small, yes, coup).
car(8632, toyota, large, no, coup).
car(8640, honda, small, no, coup).
car(8645, toyota, large, no, suv).
car(8655, toyota, small, yes, coup).
car(8675, ford, large, no, suv).
car(8696, bmw, small, yes, coup).
car(8709, bmw, medium, yes, coup).
car(8712, honda, small, no, coup).
car(8726, mitsubishi, medium, no, suv).
car(8728, toyota, large, no, coup).
car(8729, toyota, large, no, suv).
car(8732, bmw, small, yes, coup).
car(8735, ford, large, no, suv).
car(8747, ford, large, no, suv).
car(8770, ford, small, yes, coup).
car(8773, mitsubishi, small, yes, coup).
car(8774, mitsubishi, medium, no, suv).
car(8780, bmw, small, yes, coup).
car(8788, toyota, large, no, coup).
car(8793, bmw, medium, yes, coup).
car(8796, honda, small, no, coup).
car(8800, toyota, large, no, coup).
car(8812, toyota, large, no, coup).
car(8824, toyota, large, no, coup).
car(8834, mitsubishi, medium, no, suv).
car(8835, toyota, small, yes, coup).
car(8858, mitsubishi, medium, no, suv).
car(8871, toyota, small, yes, coup).
car(8890, ford, small, yes, coup).
car(8893, mitsubishi, small, yes, coup).
car(8904, honda, small, no, coup).
car(8919, toyota, small, yes, coup).
car(8927, ford, large, no, suv).
car(8932, toyota, large, no, coup).
car(8948, bmw, small, yes, coup).
car(8954, mitsubishi, medium, no, suv).
car(8957, toyota, large, no, suv).
car(8970, ford, small, yes, coup).
car(8975, mitsubishi, medium, no, suv).
car(9002, mitsubishi, medium, no, suv).
car(9015, toyota, small, yes, coup).
car(9024, honda, small, no, coup).
car(9027, toyota, small, yes, coup).
car(9029, toyota, large, no, suv).
car(9039, toyota, small, yes, coup).
car(9040, toyota, large, no, coup).
car(9042, benz, small, yes, coup).
car(9045, bmw, medium, yes, coup).
car(9062, mitsubishi, medium, no, suv).
car(9068, bmw, small, yes, coup).
car(9074, mitsubishi, medium, no, suv).
car(9077, toyota, large, no, suv).
car(9083, ford, large, no, suv).
car(9089, toyota, large, no, suv).
car(9092, bmw, small, yes, coup).
car(9093, bmw, medium, yes, coup).
car(9101, toyota, large, no, suv).
car(9102, benz, small, yes, coup).
car(9120, honda, small, no, coup).
car(9134, mitsubishi, medium, no, suv).
car(9153, bmw, medium, yes, coup).
car(9163, benz, large, no, suv).
car(9179, ford, large, no, suv).
car(9196, toyota, large, no, coup).
car(9216, honda, small, no, coup).
car(9221, toyota, large, no, suv).
car(9233, toyota, large, no, suv).
car(9241, mitsubishi, small, yes, coup).
car(9244, toyota, large, no, coup).
car(9261, bmw, medium, yes, coup).
car(9285, bmw, medium, yes, coup).
car(9291, toyota, small, yes, coup).
car(9297, bmw, medium, yes, coup).
car(9328, toyota, large, no, coup).
car(9345, bmw, medium, yes, coup).
car(9348, honda, small, no, coup).
car(9358, ford, small, yes, coup).
car(9367, benz, large, no, suv).
car(9388, toyota, large, no, coup).
car(9396, honda, small, no, coup).
car(9400, toyota, large, no, coup).
car(9415, benz, large, no, suv).
car(9422, mitsubishi, medium, no, suv).
car(9426, benz, small, yes, coup).
car(9454, ford, small, yes, coup).
car(9455, ford, large, no, suv).
car(9462, benz, small, yes, coup).
car(9469, mitsubishi, small, yes, coup).
car(9490, ford, small, yes, coup).
car(9499, benz, large, no, suv).
car(9501, bmw, medium, yes, coup).
car(9538, ford, small, yes, coup).
car(9562, ford, small, yes, coup).
car(9572, bmw, small, yes, coup).
car(9579, toyota, small, yes, coup).
car(9581, toyota, large, no, suv).
car(9590, mitsubishi, medium, no, suv).
car(9592, toyota, large, no, coup).
car(9593, toyota, large, no, suv).
car(9602, mitsubishi, medium, no, suv).
car(9615, toyota, small, yes, coup).
car(9623, ford, large, no, suv).
car(9624, honda, small, no, coup).
car(9628, toyota, large, no, coup).
car(9638, mitsubishi, medium, no, suv).
car(9641, toyota, large, no, suv).
car(9652, toyota, large, no, coup).
car(9655, benz, large, no, suv).
car(9659, ford, large, no, suv).
car(9661, mitsubishi, small, yes, coup).
car(9664, toyota, large, no, coup).
car(9675, toyota, small, yes, coup).
car(9681, bmw, medium, yes, coup).
car(9687, toyota, small, yes, coup).
car(9692, bmw, small, yes, coup).
car(9713, toyota, large, no, suv).
car(9726, benz, small, yes, coup).
car(9734, mitsubishi, medium, no, suv).
car(9743, ford, large, no, suv).
car(9748, toyota, large, no, coup).
car(9765, bmw, medium, yes, coup).
car(9786, benz, small, yes, coup).
car(9789, bmw, medium, yes, coup).
car(9790, ford, small, yes, coup).
car(9792, honda, small, no, coup).
car(9798, benz, small, yes, coup).
car(9811, benz, large, no, suv).
car(9814, ford, small, yes, coup).
car(9815, ford, large, no, suv).
car(9816, honda, small, no, coup).
car(9820, toyota, large, no, coup).
car(9841, mitsubishi, small, yes, coup).
car(9852, honda, small, no, coup).
car(9869, toyota, large, no, suv).
car(9875, ford, large, no, suv).
car(9887, ford, large, no, suv).
car(9895, benz, large, no, suv).
car(9903, toyota, small, yes, coup).
car(9918, benz, small, yes, coup).
car(9921, bmw, medium, yes, coup).
car(9922, ford, small, yes, coup).
car(9930, benz, small, yes, coup).
car(9931, benz, large, no, suv).
car(9936, honda, small, no, coup).
car(9941, toyota, large, no, suv).
car(9962, toyota, large, no, coup).
