car(4, benz, small, yes, coup).
car(7662, benz, small, yes, coup).
car(7667, ford, large, no, suv).
car(7670, mitsubishi, medium, no, suv).
car(7702, ford, small, yes, coup).
car(7705, mitsubishi, small, yes, coup).
car(7718, mitsubishi, medium, no, suv).
car(7719, toyota, small, yes, coup).
car(7723, benz, large, no, suv).
car(7744, toyota, large, no, coup).
car(7746, benz, small, yes, coup).
car(7756, toyota, large, no, coup).
car(7757, toyota, large, no, suv).
car(7763, ford, large, no, suv).
car(7777, mitsubishi, small, yes, coup).
car(7779, toyota, small, yes, coup).
car(7787, ford, large, no, suv).
car(7799, ford, large, no, suv).
car(7801, mitsubishi, small, yes, coup).
car(7804, toyota, large, no, coup).
car(7840, toyota, large, no, coup).
car(7860, honda, small, no, coup).
car(7885, mitsubishi, small, yes, coup).
car(7889, toyota, large, no, suv).
car(7902, benz, small, yes, coup).
car(7935, toyota, small, yes, coup).
car(7952, bmw, small, yes, coup).
car(7959, toyota, small, yes, coup).
car(8018, mitsubishi, medium, no, suv).
car(8059, benz, large, no, suv).
car(8069, toyota, large, no, suv).
car(8084, bmw, small, yes, coup).
car(8118, benz, small, yes, coup).
car(8119, benz, large, no, suv).
car(8127, toyota, small, yes, coup).
car(8142, benz, small, yes, coup).
car(8162, mitsubishi, medium, no, suv).
car(8179, benz, large, no, suv).
car(8183, ford, large, no, suv).
car(8200, toyota, large, no, coup).
car(8208, honda, small, no, coup).
car(8209, mitsubishi, small, yes, coup).
car(8223, toyota, small, yes, coup).
car(8239, benz, large, no, suv).
car(8242, ford, small, yes, coup).
car(8277, bmw, medium, yes, coup).
car(8306, mitsubishi, medium, no, suv).
car(8326, ford, small, yes, coup).
car(8327, ford, large, no, suv).
car(8328, honda, small, no, coup).
car(8337, bmw, medium, yes, coup).
car(8341, mitsubishi, small, yes, coup).
car(8347, benz, large, no, suv).
car(8374, ford, small, yes, coup).
car(8381, toyota, large, no, suv).
car(8397, bmw, medium, yes, coup).
car(8407, benz, large, no, suv).
car(8409, bmw, medium, yes, coup).
car(8420, bmw, small, yes, coup).
car(8440, toyota, large, no, coup).
car(8444, bmw, small, yes, coup).
car(8453, toyota, large, no, suv).
car(8454, benz, small, yes, coup).
car(8460, honda, small, no, coup).
car(8473, mitsubishi, small, yes, coup).
car(8484, honda, small, no, coup).
car(8489, toyota, large, no, suv).
car(8500, toyota, large, no, coup).
car(8509, mitsubishi, small, yes, coup).
car(8511, toyota, small, yes, coup).
car(8514, benz, small, yes, coup).
car(8519, ford, large, no, suv).
car(8530, ford, small, yes, coup).
car(8537, toyota, large, no, suv).
car(8552, bmw, small, yes, coup).
car(8565, bmw, medium, yes, coup).
car(8574, benz, small, yes, coup).
car(8605, mitsubishi, small, yes, coup).
car(8611, benz, large, no, suv).
car(8622, benz, small, yes, coup).
car(8628, honda, small, no, coup).
car(8641, mitsubishi, small, yes, coup).
car(8656, toyota, large, no, coup).
car(8658, benz, small, yes, coup).
car(8660, bmw, small, yes, coup).
car(8692, toyota, large, no, coup).
car(8706, benz, small, yes, coup).
car(8727, toyota, small, yes, coup).
car(8731, benz, large, no, suv).
car(8746, ford, small, yes, coup).
car(8748, honda, small, no, coup).
car(8757, bmw, medium, yes, coup).
car(8762, mitsubishi, medium, no, suv).
car(8763, toyota, small, yes, coup).
car(8765, toyota, large, no, suv).
car(8809, mitsubishi, small, yes, coup).
car(8827, benz, large, no, suv).
car(8831, ford, large, no, suv).
car(8839, benz, large, no, suv).
car(8843, ford, large, no, suv).
car(8857, mitsubishi, small, yes, coup).
car(8873, toyota, large, no, suv).
car(8876, bmw, small, yes, coup).
car(8886, benz, small, yes, coup).
car(8903, ford, large, no, suv).
car(8905, mitsubishi, small, yes, coup).
car(8928, honda, small, no, coup).
car(8945, toyota, large, no, suv).
car(8947, benz, large, no, suv).
car(8949, bmw, medium, yes, coup).
car(8955, toyota, small, yes, coup).
car(8956, toyota, large, no, coup).
car(8962, ford, small, yes, coup).
car(8965, toyota, small, yes, coup).
car(8978, mitsubishi, medium, no, suv).
car(8984, bmw, small, yes, coup).
car(8992, toyota, large, no, coup).
car(9016, toyota, large, no, coup).
car(9026, mitsubishi, medium, no, suv).
car(9031, benz, large, no, suv).
car(9035, ford, large, no, suv).
car(9037, mitsubishi, small, yes, coup).
car(9038, mitsubishi, medium, no, suv).
car(9048, honda, small, no, coup).
car(9057, bmw, medium, yes, coup).
car(9070, ford, small, yes, coup).
car(9075, toyota, small, yes, coup).
car(9103, benz, large, no, suv).
car(9124, toyota, large, no, coup).
car(9130, ford, small, yes, coup).
car(9132, honda, small, no, coup).
car(9137, toyota, large, no, suv).
car(9140, bmw, small, yes, coup).
car(9149, toyota, large, no, suv).
car(9155, ford, large, no, suv).
car(9156, honda, small, no, coup).
car(9160, toyota, large, no, coup).
car(9165, bmw, medium, yes, coup).
car(9174, benz, small, yes, coup).
car(9183, toyota, small, yes, coup).
car(9198, benz, small, yes, coup).
car(9209, toyota, large, no, suv).
car(9222, benz, small, yes, coup).
car(9225, bmw, medium, yes, coup).
car(9237, bmw, medium, yes, coup).
car(9240, honda, small, no, coup).
car(9253, mitsubishi, small, yes, coup).
car(9262, ford, small, yes, coup).
car(9275, ford, large, no, suv).
car(9295, benz, large, no, suv).
car(9305, toyota, large, no, suv).
car(9310, ford, small, yes, coup).
car(9319, benz, large, no, suv).
car(9321, bmw, medium, yes, coup).
car(9329, toyota, large, no, suv).
car(9330, benz, small, yes, coup).
car(9338, mitsubishi, medium, no, suv).
car(9346, ford, small, yes, coup).
car(9347, ford, large, no, suv).
car(9361, mitsubishi, small, yes, coup).
car(9374, mitsubishi, medium, no, suv).
car(9378, benz, small, yes, coup).
car(9382, ford, small, yes, coup).
car(9391, benz, large, no, suv).
car(9401, toyota, large, no, suv).
car(9417, bmw, medium, yes, coup).
car(9425, toyota, large, no, suv).
car(9430, ford, small, yes, coup).
car(9433, mitsubishi, small, yes, coup).
car(9446, mitsubishi, medium, no, suv).
car(9451, benz, large, no, suv).
car(9458, mitsubishi, medium, no, suv).
car(9479, ford, large, no, suv).
car(9485, toyota, large, no, suv).
car(9537, bmw, medium, yes, coup).
car(9552, honda, small, no, coup).
car(9569, toyota, large, no, suv).
car(9573, bmw, medium, yes, coup).
car(9576, honda, small, no, coup).
car(9634, ford, small, yes, coup).
car(9643, benz, large, no, suv).
car(9647, ford, large, no, suv).
car(9649, mitsubishi, small, yes, coup).
car(9654, benz, small, yes, coup).
car(9677, toyota, large, no, suv).
car(9709, mitsubishi, small, yes, coup).
car(9725, toyota, large, no, suv).
car(9736, toyota, large, no, coup).
car(9747, toyota, small, yes, coup).
car(9772, toyota, large, no, coup).
car(9837, bmw, medium, yes, coup).
car(9856, toyota, large, no, coup).
car(9863, ford, large, no, suv).
car(9868, toyota, large, no, coup).
car(9878, mitsubishi, medium, no, suv).
car(9880, toyota, large, no, coup).
car(9884, bmw, small, yes, coup).
car(9901, mitsubishi, small, yes, coup).
car(9904, toyota, large, no, coup).
car(9905, toyota, large, no, suv).
car(9947, ford, large, no, suv).
car(9954, benz, small, yes, coup).
car(9956, bmw, small, yes, coup).
