car(17, toyota, large, no, suv).
car(7960, toyota, large, no, coup).
car(7963, benz, large, no, suv).
car(7969, toyota, small, yes, coup).
car(7980, ford, large, no, suv).
car(7984, toyota, large, no, coup).
car(7986, benz, small, yes, coup).
car(7995, toyota, small, yes, coup).
car(8004, honda, small, no, coup).
car(8009, toyota, large, no, suv).
car(8010, benz, small, yes, coup).
car(8029, mitsubishi, small, yes, coup).
car(8040, honda, small, no, coup).
car(8045, toyota, large, no, suv).
car(8053, mitsubishi, small, yes, coup).
car(8067, toyota, small, yes, coup).
car(8079, toyota, small, yes, coup).
car(8082, benz, small, yes, coup).
car(8092, toyota, large, no, coup).
car(8100, honda, small, no, coup).
car(8101, mitsubishi, small, yes, coup).
car(8105, toyota, large, no, suv).
car(8107, benz, large, no, suv).
car(8112, honda, small, no, coup).
car(8113, mitsubishi, small, yes, coup).
car(8122, ford, small, yes, coup).
car(8124, honda, small, no, coup).
car(8125, mitsubishi, small, yes, coup).
car(8132, bmw, small, yes, coup).
car(8134, ford, small, yes, coup).
car(8144, bmw, small, yes, coup).
car(8146, ford, small, yes, coup).
car(8169, bmw, medium, yes, coup).
car(8170, ford, small, yes, coup).
car(8172, honda, small, no, coup).
car(8176, toyota, large, no, coup).
car(8186, mitsubishi, medium, no, suv).
car(8197, mitsubishi, small, yes, coup).
car(8230, ford, small, yes, coup).
car(8234, mitsubishi, medium, no, suv).
car(8248, toyota, large, no, coup).
car(8252, bmw, small, yes, coup).
car(8267, ford, large, no, suv).
car(8272, toyota, large, no, coup).
car(8280, honda, small, no, coup).
car(8292, honda, small, no, coup).
car(8293, mitsubishi, small, yes, coup).
car(8297, toyota, large, no, suv).
car(8309, toyota, large, no, suv).
car(8312, bmw, small, yes, coup).
car(8320, toyota, large, no, coup).
car(8333, toyota, large, no, suv).
car(8338, ford, small, yes, coup).
car(8380, toyota, large, no, coup).
car(8390, mitsubishi, medium, no, suv).
car(8395, benz, large, no, suv).
car(8401, mitsubishi, small, yes, coup).
car(8416, toyota, large, no, coup).
car(8426, mitsubishi, medium, no, suv).
car(8429, toyota, large, no, suv).
car(8430, benz, small, yes, coup).
car(8441, toyota, large, no, suv).
car(8447, ford, large, no, suv).
car(8448, honda, small, no, coup).
car(8471, ford, large, no, suv).
car(8485, mitsubishi, small, yes, coup).
car(8490, benz, small, yes, coup).
car(8493, bmw, medium, yes, coup).
car(8495, ford, large, no, suv).
car(8505, bmw, medium, yes, coup).
car(8512, toyota, large, no, coup).
car(8515, benz, large, no, suv).
car(8521, mitsubishi, small, yes, coup).
car(8544, honda, small, no, coup).
car(8554, ford, small, yes, coup).
car(8579, ford, large, no, suv).
car(8586, benz, small, yes, coup).
car(8636, bmw, small, yes, coup).
car(8652, honda, small, no, coup).
car(8662, ford, small, yes, coup).
car(8685, bmw, medium, yes, coup).
car(8688, honda, small, no, coup).
car(8689, mitsubishi, small, yes, coup).
car(8716, toyota, large, no, coup).
car(8725, mitsubishi, small, yes, coup).
car(8736, honda, small, no, coup).
car(8737, mitsubishi, small, yes, coup).
car(8752, toyota, large, no, coup).
car(8791, benz, large, no, suv).
car(8798, mitsubishi, medium, no, suv).
car(8811, toyota, small, yes, coup).
car(8825, toyota, large, no, suv).
car(8842, ford, small, yes, coup).
car(8845, mitsubishi, small, yes, coup).
car(8849, toyota, large, no, suv).
car(8853, bmw, medium, yes, coup).
car(8861, toyota, large, no, suv).
car(8872, toyota, large, no, coup).
car(8881, mitsubishi, small, yes, coup).
car(8898, benz, small, yes, coup).
car(8906, mitsubishi, medium, no, suv).
car(8909, toyota, large, no, suv).
car(8961, bmw, medium, yes, coup).
car(8972, benz, large, no, suv).
car(8986, ford, small, yes, coup).
car(9014, mitsubishi, medium, no, suv).
car(9017, toyota, large, no, suv).
car(9020, bmw, small, yes, coup).
car(9044, bmw, small, yes, coup).
car(9047, ford, large, no, suv).
car(9058, ford, small, yes, coup).
car(9064, toyota, large, no, coup).
car(9109, mitsubishi, small, yes, coup).
car(9112, toyota, large, no, coup).
car(9116, bmw, small, yes, coup).
car(9141, bmw, medium, yes, coup).
car(9143, ford, large, no, suv).
car(9158, mitsubishi, medium, no, suv).
car(9168, honda, small, no, coup).
car(9182, mitsubishi, medium, no, suv).
car(9184, toyota, large, no, coup).
car(9191, ford, large, no, suv).
car(9197, toyota, large, no, suv).
car(9202, ford, small, yes, coup).
car(9205, mitsubishi, small, yes, coup).
car(9207, toyota, small, yes, coup).
car(9214, ford, small, yes, coup).
car(9217, mitsubishi, small, yes, coup).
car(9250, ford, small, yes, coup).
car(9256, toyota, large, no, coup).
car(9265, mitsubishi, small, yes, coup).
car(9266, mitsubishi, medium, no, suv).
car(9268, toyota, large, no, coup).
car(9278, mitsubishi, medium, no, suv).
car(9283, benz, large, no, suv).
car(9286, ford, small, yes, coup).
car(9290, mitsubishi, medium, no, suv).
car(9308, bmw, small, yes, coup).
car(9315, toyota, small, yes, coup).
car(9337, mitsubishi, small, yes, coup).
car(9339, toyota, small, yes, coup).
car(9340, toyota, large, no, coup).
car(9349, mitsubishi, small, yes, coup).
car(9363, toyota, small, yes, coup).
car(9375, toyota, small, yes, coup).
car(9376, toyota, large, no, coup).
car(9394, ford, small, yes, coup).
car(9402, benz, small, yes, coup).
car(9428, bmw, small, yes, coup).
car(9449, toyota, large, no, suv).
car(9470, mitsubishi, medium, no, suv).
car(9472, toyota, large, no, coup).
car(9473, toyota, large, no, suv).
car(9483, toyota, small, yes, coup).
car(9491, ford, large, no, suv).
car(9509, toyota, large, no, suv).
car(9510, benz, small, yes, coup).
car(9516, honda, small, no, coup).
car(9525, bmw, medium, yes, coup).
car(9527, ford, large, no, suv).
car(9531, toyota, small, yes, coup).
car(9546, benz, small, yes, coup).
car(9547, benz, large, no, suv).
car(9548, bmw, small, yes, coup).
car(9582, benz, small, yes, coup).
car(9606, benz, small, yes, coup).
car(9611, ford, large, no, suv).
car(9632, bmw, small, yes, coup).
car(9642, benz, small, yes, coup).
car(9657, bmw, medium, yes, coup).
car(9666, benz, small, yes, coup).
car(9669, bmw, medium, yes, coup).
car(9670, ford, small, yes, coup).
car(9678, benz, small, yes, coup).
car(9685, mitsubishi, small, yes, coup).
car(9705, bmw, medium, yes, coup).
car(9707, ford, large, no, suv).
car(9724, toyota, large, no, coup).
car(9728, bmw, small, yes, coup).
car(9733, mitsubishi, small, yes, coup).
car(9753, bmw, medium, yes, coup).
car(9754, ford, small, yes, coup).
car(9757, mitsubishi, small, yes, coup).
car(9758, mitsubishi, medium, no, suv).
car(9768, honda, small, no, coup).
car(9795, toyota, small, yes, coup).
car(9805, mitsubishi, small, yes, coup).
car(9821, toyota, large, no, suv).
car(9825, bmw, medium, yes, coup).
car(9826, ford, small, yes, coup).
car(9859, benz, large, no, suv).
car(9865, mitsubishi, small, yes, coup).
car(9870, benz, small, yes, coup).
car(9892, toyota, large, no, coup).
car(9893, toyota, large, no, suv).
car(9894, benz, small, yes, coup).
car(9906, benz, small, yes, coup).
car(9914, mitsubishi, medium, no, suv).
car(9923, ford, large, no, suv).
car(9937, mitsubishi, small, yes, coup).
car(9952, toyota, large, no, coup).
car(9955, benz, large, no, suv).
car(9963, benz, small, yes, coup).
car(9964, bmw, small, yes, coup).
car(9967, honda, small, no, coup).
car(9971, mitsubishi, medium, no, suv).
