car(1, mitsubishi, small, yes, coup).
car(7525, mitsubishi, small, yes, coup).
car(7538, mitsubishi, medium, no, suv).
car(7541, toyota, large, no, suv).
car(7543, benz, large, no, suv).
car(7548, honda, small, no, coup).
car(7564, toyota, large, no, coup).
car(7568, bmw, small, yes, coup).
car(7574, mitsubishi, medium, no, suv).
car(7577, toyota, large, no, suv).
car(7584, honda, small, no, coup).
car(7594, ford, small, yes, coup).
car(7601, toyota, large, no, suv).
car(7603, benz, large, no, suv).
car(7647, toyota, small, yes, coup).
car(7653, bmw, medium, yes, coup).
car(7658, mitsubishi, medium, no, suv).
car(7672, toyota, large, no, coup).
car(7681, mitsubishi, small, yes, coup).
car(7682, mitsubishi, medium, no, suv).
car(7699, benz, large, no, suv).
car(7706, mitsubishi, medium, no, suv).
car(7708, toyota, large, no, coup).
car(7709, toyota, large, no, suv).
car(7710, benz, small, yes, coup).
car(7716, honda, small, no, coup).
car(7724, bmw, small, yes, coup).
car(7725, bmw, medium, yes, coup).
car(7727, ford, large, no, suv).
car(7739, ford, large, no, suv).
car(7740, honda, small, no, coup).
car(7745, toyota, large, no, suv).
car(7752, honda, small, no, coup).
car(7765, mitsubishi, small, yes, coup).
car(7767, toyota, small, yes, coup).
car(7772, bmw, small, yes, coup).
car(7773, bmw, medium, yes, coup).
car(7791, toyota, small, yes, coup).
car(7818, benz, small, yes, coup).
car(7839, toyota, small, yes, coup).
car(7851, toyota, small, yes, coup).
car(7876, toyota, large, no, coup).
car(7879, benz, large, no, suv).
car(7881, bmw, medium, yes, coup).
car(7904, bmw, small, yes, coup).
car(7905, bmw, medium, yes, coup).
car(7916, bmw, small, yes, coup).
car(7957, mitsubishi, small, yes, coup).
car(7965, bmw, medium, yes, coup).
car(7981, mitsubishi, small, yes, coup).
car(7987, benz, large, no, suv).
car(8008, toyota, large, no, coup).
car(8023, benz, large, no, suv).
car(8031, toyota, small, yes, coup).
car(8035, benz, large, no, suv).
car(8037, bmw, medium, yes, coup).
car(8039, ford, large, no, suv).
car(8050, ford, small, yes, coup).
car(8054, mitsubishi, medium, no, suv).
car(8060, bmw, small, yes, coup).
car(8072, bmw, small, yes, coup).
car(8073, bmw, medium, yes, coup).
car(8076, honda, small, no, coup).
car(8078, mitsubishi, medium, no, suv).
car(8099, ford, large, no, suv).
car(8103, toyota, small, yes, coup).
car(8106, benz, small, yes, coup).
car(8128, toyota, large, no, coup).
car(8135, ford, large, no, suv).
car(8136, honda, small, no, coup).
car(8140, toyota, large, no, coup).
car(8158, ford, small, yes, coup).
car(8167, benz, large, no, suv).
car(8171, ford, large, no, suv).
car(8185, mitsubishi, small, yes, coup).
car(8188, toyota, large, no, coup).
car(8190, benz, small, yes, coup).
car(8199, toyota, small, yes, coup).
car(8202, benz, small, yes, coup).
car(8221, mitsubishi, small, yes, coup).
car(8224, toyota, large, no, coup).
car(8263, benz, large, no, suv).
car(8265, bmw, medium, yes, coup).
car(8285, toyota, large, no, suv).
car(8310, benz, small, yes, coup).
car(8314, ford, small, yes, coup).
car(8322, benz, small, yes, coup).
car(8343, toyota, small, yes, coup).
car(8358, benz, small, yes, coup).
car(8375, ford, large, no, suv).
car(8376, honda, small, no, coup).
car(8377, mitsubishi, small, yes, coup).
car(8388, honda, small, no, coup).
car(8392, toyota, large, no, coup).
car(8417, toyota, large, no, suv).
car(8424, honda, small, no, coup).
car(8427, toyota, small, yes, coup).
car(8434, ford, small, yes, coup).
car(8464, toyota, large, no, coup).
car(8466, benz, small, yes, coup).
car(8467, benz, large, no, suv).
car(8479, benz, large, no, suv).
car(8491, benz, large, no, suv).
car(8496, honda, small, no, coup).
car(8497, mitsubishi, small, yes, coup).
car(8502, benz, small, yes, coup).
car(8518, ford, small, yes, coup).
car(8527, benz, large, no, suv).
car(8533, mitsubishi, small, yes, coup).
car(8541, bmw, medium, yes, coup).
car(8563, benz, large, no, suv).
car(8573, toyota, large, no, suv).
car(8581, mitsubishi, small, yes, coup).
car(8585, toyota, large, no, suv).
car(8599, benz, large, no, suv).
car(8614, ford, small, yes, coup).
car(8621, toyota, large, no, suv).
car(8625, bmw, medium, yes, coup).
car(8642, mitsubishi, medium, no, suv).
car(8661, bmw, medium, yes, coup).
car(8693, toyota, large, no, suv).
car(8698, ford, small, yes, coup).
car(8705, toyota, large, no, suv).
car(8734, ford, small, yes, coup).
car(8750, mitsubishi, medium, no, suv).
car(8754, benz, small, yes, coup).
car(8766, benz, small, yes, coup).
car(8767, benz, large, no, suv).
car(8775, toyota, small, yes, coup).
car(8782, ford, small, yes, coup).
car(8801, toyota, large, no, suv).
car(8802, benz, small, yes, coup).
car(8814, benz, small, yes, coup).
car(8822, mitsubishi, medium, no, suv).
car(8826, benz, small, yes, coup).
car(8855, ford, large, no, suv).
car(8859, toyota, small, yes, coup).
car(8862, benz, small, yes, coup).
car(8866, ford, small, yes, coup).
car(8868, honda, small, no, coup).
car(8875, benz, large, no, suv).
car(8882, mitsubishi, medium, no, suv).
car(8885, toyota, large, no, suv).
car(8895, toyota, small, yes, coup).
car(8899, benz, large, no, suv).
car(8918, mitsubishi, medium, no, suv).
car(8930, mitsubishi, medium, no, suv).
car(8944, toyota, large, no, coup).
car(8959, benz, large, no, suv).
car(8960, bmw, small, yes, coup).
car(8964, mitsubishi, small, yes, coup).
car(8973, ford, large, no, suv).
car(8981, toyota, large, no, suv).
car(8990, mitsubishi, medium, no, suv).
car(8991, toyota, small, yes, coup).
car(8995, benz, large, no, suv).
car(8996, bmw, small, yes, coup).
car(9010, ford, small, yes, coup).
car(9034, ford, small, yes, coup).
car(9041, toyota, large, no, suv).
car(9049, mitsubishi, small, yes, coup).
car(9053, toyota, large, no, suv).
car(9059, ford, large, no, suv).
car(9065, toyota, large, no, suv).
car(9079, benz, large, no, suv).
car(9081, bmw, medium, yes, coup).
car(9086, mitsubishi, medium, no, suv).
car(9088, toyota, large, no, coup).
car(9091, benz, large, no, suv).
car(9096, honda, small, no, coup).
car(9106, ford, small, yes, coup).
car(9122, mitsubishi, medium, no, suv).
car(9123, toyota, small, yes, coup).
car(9125, toyota, large, no, suv).
car(9127, benz, large, no, suv).
car(9133, mitsubishi, small, yes, coup).
car(9136, toyota, large, no, coup).
car(9147, toyota, small, yes, coup).
car(9150, benz, small, yes, coup).
car(9171, toyota, small, yes, coup).
car(9173, toyota, large, no, suv).
car(9177, bmw, medium, yes, coup).
car(9181, mitsubishi, small, yes, coup).
car(9203, ford, large, no, suv).
car(9213, bmw, medium, yes, coup).
car(9215, ford, large, no, suv).
car(9236, bmw, small, yes, coup).
car(9243, toyota, small, yes, coup).
car(9263, ford, large, no, suv).
car(9302, mitsubishi, medium, no, suv).
car(9307, benz, large, no, suv).
car(9326, mitsubishi, medium, no, suv).
car(9331, benz, large, no, suv).
car(9333, bmw, medium, yes, coup).
car(9379, benz, large, no, suv).
car(9385, mitsubishi, small, yes, coup).
car(9395, ford, large, no, suv).
car(9429, bmw, medium, yes, coup).
car(9440, bmw, small, yes, coup).
car(9444, honda, small, no, coup).
car(9445, mitsubishi, small, yes, coup).
car(9448, toyota, large, no, coup).
car(9452, bmw, small, yes, coup).
car(9456, honda, small, no, coup).
car(9468, honda, small, no, coup).
car(9484, toyota, large, no, coup).
car(9488, bmw, small, yes, coup).
car(9492, honda, small, no, coup).
car(9496, toyota, large, no, coup).
car(9498, benz, small, yes, coup).
car(9500, bmw, small, yes, coup).
car(9507, toyota, small, yes, coup).
car(9508, toyota, large, no, coup).
car(9512, bmw, small, yes, coup).
car(9518, mitsubishi, medium, no, suv).
car(9532, toyota, large, no, coup).
car(9539, ford, large, no, suv).
car(9541, mitsubishi, small, yes, coup).
car(9549, bmw, medium, yes, coup).
car(9555, toyota, small, yes, coup).
car(9560, bmw, small, yes, coup).
car(9567, toyota, small, yes, coup).
car(9587, ford, large, no, suv).
car(9591, toyota, small, yes, coup).
car(9605, toyota, large, no, suv).
car(9612, honda, small, no, coup).
car(9640, toyota, large, no, coup).
car(9645, bmw, medium, yes, coup).
car(9651, toyota, small, yes, coup).
car(9686, mitsubishi, medium, no, suv).
car(9691, benz, large, no, suv).
car(9698, mitsubishi, medium, no, suv).
car(9731, ford, large, no, suv).
car(9735, toyota, small, yes, coup).
car(9737, toyota, large, no, suv).
car(9738, benz, small, yes, coup).
car(9761, toyota, large, no, suv).
car(9762, benz, small, yes, coup).
car(9766, ford, small, yes, coup).
car(9769, mitsubishi, small, yes, coup).
car(9807, toyota, small, yes, coup).
car(9809, toyota, large, no, suv).
car(9813, bmw, medium, yes, coup).
car(9824, bmw, small, yes, coup).
car(9842, mitsubishi, medium, no, suv).
car(9867, toyota, small, yes, coup).
car(9873, bmw, medium, yes, coup).
car(9879, toyota, small, yes, coup).
car(9882, benz, small, yes, coup).
car(9889, mitsubishi, small, yes, coup).
car(9891, toyota, small, yes, coup).
car(9924, honda, small, no, coup).
car(9933, bmw, medium, yes, coup).
car(9948, honda, small, no, coup).
car(9957, bmw, medium, yes, coup).
